Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Andorra,AND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,98.8389170615457,Europe & Central Asia,High income
Angola,AGO,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,0.545394210158053,Sub-Saharan Africa,Lower middle income
Angola,AGO,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,1.01188665392088,Sub-Saharan Africa,Lower middle income
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,22.0,Sub-Saharan Africa,Lower middle income
Angola,AGO,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,49.3097223014385,Sub-Saharan Africa,Lower middle income
Antigua and Barbuda,ATG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,11.1845563645718,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,22.3691127291436,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,70.0,Latin America & Caribbean,High income
Antigua and Barbuda,ATG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,196.848192016464,Latin America & Caribbean,High income
Argentina,ARG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,15.768878045253,Latin America & Caribbean,Upper middle income
Argentina,ARG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,23.1688530021336,Latin America & Caribbean,Upper middle income
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,68.0430641088122,Latin America & Caribbean,Upper middle income
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,142.240711022183,Latin America & Caribbean,Upper middle income
Armenia,ARM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,9.80149439763493,Europe & Central Asia,Upper middle income
Armenia,ARM,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,18.8747891688864,Europe & Central Asia,Upper middle income
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,59.1008337674937,Europe & Central Asia,Upper middle income
Armenia,ARM,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2015,57.7535,Europe & Central Asia,Upper middle income
Armenia,ARM,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2015,60.7493,Europe & Central Asia,Upper middle income
Armenia,ARM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,118.599112617962,Europe & Central Asia,Upper middle income
Aruba,ABW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,18.2369653689626,Latin America & Caribbean,High income
Aruba,ABW,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,33.5944098901943,Latin America & Caribbean,High income
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,88.661226932496,Latin America & Caribbean,High income
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,135.337479843354,Latin America & Caribbean,High income
Australia,AUS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,28.5117731324726,East Asia & Pacific,High income
Australia,AUS,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,35.4935664361478,East Asia & Pacific,High income
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,84.5605149091408,East Asia & Pacific,High income
Australia,AUS,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2015,84.8809,East Asia & Pacific,High income
Australia,AUS,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2015,84.1635,East Asia & Pacific,High income
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,107.608142007003,East Asia & Pacific,High income
Austria,AUT,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,28.4068593397138,Europe & Central Asia,High income
Austria,AUT,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,41.7617273591662,Europe & Central Asia,High income
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,83.9401419315026,Europe & Central Asia,High income
Austria,AUT,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2015,79.688,Europe & Central Asia,High income
Austria,AUT,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2015,88.2664,Europe & Central Asia,High income
Austria,AUT,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,155.837138171172,Europe & Central Asia,High income
Azerbaijan,AZE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,19.4759070425568,Europe & Central Asia,Upper middle income
Azerbaijan,AZE,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,18.4154067785314,Europe & Central Asia,Upper middle income
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,77.0,Europe & Central Asia,Upper middle income
Azerbaijan,AZE,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2015,73.1986,Europe & Central Asia,Upper middle income
Azerbaijan,AZE,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2015,80.8285,Europe & Central Asia,Upper middle income
Azerbaijan,AZE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,109.682113433509,Europe & Central Asia,Upper middle income
"Bahamas, The",BHS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,21.0247414012342,Latin America & Caribbean,High income
"Bahamas, The",BHS,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,31.3808888635149,Latin America & Caribbean,High income
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,78.0,Latin America & Caribbean,High income
"Bahamas, The",BHS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,80.7521033045627,Latin America & Caribbean,High income
Bahrain,BHR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,18.4748658416384,Middle East & North Africa,High income
Bahrain,BHR,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,20.4515752199467,Middle East & North Africa,High income
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,93.4783007986129,Middle East & North Africa,High income
Bahrain,BHR,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2015,95.1549,Middle East & North Africa,High income
Bahrain,BHR,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2015,92.545,Middle East & North Africa,High income
Bahrain,BHR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,183.919614500055,Middle East & North Africa,High income
Bangladesh,BGD,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,3.06992245398744,South Asia,Lower middle income
